
Processing writeweights.C...

Processing writeweights.C...
***********************************
*    Row   * Instance * MCTrack.f *
*      180 *        2 * 326.16000 *
*      181 *        5 *    7.6875 *
*      182 *        5 *    7.6875 *
*      183 *       10 *    7.6875 *
*      184 *        5 *    7.6875 *
*      184 *        6 *    7.6875 *
*      185 *        3 * 3.2616000 *
*      185 *        4 * 3.2616000 *
*      186 *        7 *    7.6875 *
*      186 *        8 *    7.6875 *
*      187 *        9 *    7.6875 *
*      188 *        6 *    7.6875 *
*      189 *       11 *    7.6875 *
*      190 *        6 *    7.6875 *
*      191 *        7 *    768.75 *
*      192 *        8 *    7.6875 *
*      193 *        8 *    768.75 *
*      194 *        6 *    7.6875 *
*      194 *        7 *    7.6875 *
*      195 *        5 *    7.6875 *
*      196 *        3 *    7.6875 *
*      197 *        6 *    7.6875 *
*      198 *        9 *    7.6875 *
*      199 *        8 *    7.6875 *
*      200 *        9 *    7.6875 *
*      201 *        9 *    7.6875 *
*      202 *        5 *    7.6875 *
*      203 *        9 *    7.6875 *
*      204 *        2 * 326.16000 *
*      205 *        5 *    7.6875 *
*      206 *        5 *    7.6875 *
*      207 *        5 *    7.6875 *
*      207 *        6 *    7.6875 *
*      208 *        7 *    7.6875 *
*      209 *        4 *    7.6875 *
*      210 *        6 *    7.6875 *
*      211 *        5 *    7.6875 *
*      212 *        8 *    7.6875 *
*      213 *        5 *    7.6875 *
*      214 *        8 *    7.6875 *
*      215 *        5 *    7.6875 *
*      215 *        6 *    7.6875 *
*      216 *        8 *    7.6875 *
*      217 *        6 *    7.6875 *
*      218 *        8 *    7.6875 *
*      219 *       12 *    7.6875 *
*      220 *        5 *    7.6875 *
*      220 *        6 *    7.6875 *
*      221 *        6 *    7.6875 *
*      222 *        9 *    7.6875 *
*      223 *        4 *    7.6875 *
*      223 *        5 *    7.6875 *
*      224 *        6 *    7.6875 *
*      225 *        7 *    7.6875 *
*      226 *        5 *    7.6875 *
*      227 *        8 *    7.6875 *
*      228 *        6 *    7.6875 *
*      228 *        7 *    7.6875 *
*      229 *        5 *    7.6875 *
*      230 *        6 *    768.75 *
*      231 *        5 *    7.6875 *
*      231 *        6 *    7.6875 *
*      232 *        4 *    7.6875 *
*      233 *        8 *    7.6875 *
*      234 *        2 * 326.16000 *
*      235 *        6 *    7.6875 *
*      235 *        7 *    7.6875 *
*      236 *        4 *    7.6875 *
*      237 *        8 *    7.6875 *
*      237 *        9 *    7.6875 *
*      238 *        5 *    7.6875 *
*      239 *        6 *    7.6875 *
*      240 *        7 *    7.6875 *
*      241 *        7 *    7.6875 *
*      242 *        6 *    7.6875 *
*      243 *        5 *    7.6875 *
*      244 *        8 *    7.6875 *
*      245 *        5 *    7.6875 *
*      246 *        7 *    7.6875 *
*      247 *        8 *    7.6875 *
*      248 *        8 *    7.6875 *
*      248 *        9 *    7.6875 *
*      249 *        5 *    7.6875 *
*      250 *        7 *    7.6875 *
*      251 *        8 *    7.6875 *
*      252 *        8 *    7.6875 *
*      252 *        9 *    7.6875 *
*      253 *        5 *    7.6875 *
*      253 *        6 *    7.6875 *
*      254 *        6 *    7.6875 *
*      254 *        7 *    7.6875 *
*      255 *        2 * 326.16000 *
*      256 *        9 *    7.6875 *
*      257 *        8 *    7.6875 *
*      258 *        7 *    7.6875 *
*      259 *        8 *    7.6875 *
*      260 *        8 *    7.6875 *
*      261 *        8 *    7.6875 *
*      262 *        4 *    7.6875 *
*      262 *        5 *    7.6875 *
*      263 *        8 *    7.6875 *
*      264 *       14 *    7.6875 *
*      265 *        9 *    7.6875 *
*      266 *        8 *    7.6875 *
*      267 *        8 *    7.6875 *
*      268 *        5 *    7.6875 *
*      269 *        7 *    7.6875 *
*      270 *        5 *    7.6875 *
*      271 *        8 *    7.6875 *
*      272 *        6 *    7.6875 *
*      273 *        5 *    7.6875 *
*      274 *        5 *    7.6875 *
*      275 *        8 *    7.6875 *
*      276 *        5 *    7.6875 *
*      277 *        5 *    7.6875 *
*      278 *        5 *    7.6875 *
*      279 *        6 *    7.6875 *
*      280 *       10 *    7.6875 *
*      280 *       11 *    7.6875 *
*      281 *       12 *    7.6875 *
*      282 *        8 *    7.6875 *
*      282 *        9 *    7.6875 *
*      283 *        6 *    7.6875 *
*      284 *        8 *    7.6875 *
*      284 *        9 *    7.6875 *
*      285 *        5 *    7.6875 *
*      285 *        6 *    7.6875 *
*      286 *        5 *    7.6875 *
*      286 *        6 *    7.6875 *
*      287 *        5 *    7.6875 *
*      288 *        9 *    7.6875 *
*      289 *        6 *    7.6875 *
*      290 *        6 *    7.6875 *
